date,tournament,home_team,away_team,home_score,away_score,result,neutral,goal_diff
2010-06-22,World Cup,Mexico,Uruguay,0,1,-1,True,1
2010-06-22,World Cup,Greece,Argentina,0,2,-1,True,2
2010-06-22,World Cup,Nigeria,South Korea,2,2,0,True,0
2010-06-23,World Cup,Slovenia,England,0,1,-1,True,1
2010-06-23,World Cup,United States,Algeria,1,0,1,True,1
2010-06-23,World Cup,Australia,Serbia,2,1,1,True,1
2010-06-23,World Cup,Ghana,Germany,0,1,-1,True,1
2010-06-24,World Cup,Denmark,Japan,1,3,-1,True,2
2010-06-24,World Cup,Slovakia,Italy,3,2,1,True,1
2010-06-24,World Cup,Paraguay,New Zealand,0,0,0,True,0
2010-06-24,World Cup,Cameroon,Netherlands,1,2,-1,True,1
2010-06-25,World Cup,North Korea,Ivory Coast,0,3,-1,True,3
2010-06-25,World Cup,Portugal,Brazil,0,0,0,True,0
2010-06-25,World Cup,Chile,Spain,1,2,-1,True,1
2010-06-25,World Cup,Switzerland,Honduras,0,0,0,True,0
2010-06-26,World Cup,Uruguay,South Korea,2,1,1,True,1
2010-06-26,World Cup,United States,Ghana,1,2,-1,True,1
2010-06-27,World Cup,Argentina,Mexico,3,1,1,True,2
2010-06-27,World Cup,Germany,England,4,1,1,True,3
2010-06-28,World Cup,Brazil,Chile,3,0,1,True,3
2010-06-28,World Cup,Netherlands,Slovakia,2,1,1,True,1
2010-06-29,World Cup,Paraguay,Japan,0,0,0,True,0
2010-06-29,World Cup,Spain,Portugal,1,0,1,True,1
2010-07-02,World Cup,Netherlands,Brazil,2,1,1,True,1
2010-07-02,World Cup,Uruguay,Ghana,1,1,0,True,0
2010-07-03,World Cup,Argentina,Germany,0,4,-1,True,4
2010-07-03,World Cup,Paraguay,Spain,0,1,-1,True,1
2010-07-06,World Cup,Uruguay,Netherlands,2,3,-1,True,1
2010-07-07,World Cup,Germany,Spain,0,1,-1,True,1
2010-07-10,World Cup,Uruguay,Germany,2,3,-1,True,1
2010-07-11,World Cup,Netherlands,Spain,0,1,-1,True,1
2012-06-08,UEFA Euro,Russia,Czechia,4,1,1,True,3
2012-06-08,UEFA Euro,Poland,Greece,1,1,0,True,0
2012-06-09,UEFA Euro,Germany,Portugal,1,0,1,True,1
2012-06-09,UEFA Euro,Netherlands,Denmark,0,1,-1,True,1
2012-06-10,UEFA Euro,Spain,Italy,1,1,0,True,0
2012-06-10,UEFA Euro,Republic of Ireland,Croatia,1,3,-1,True,2
2012-06-11,UEFA Euro,France,England,1,1,0,True,0
2012-06-11,UEFA Euro,Ukraine,Sweden,2,1,1,True,1
2012-06-12,UEFA Euro,Greece,Czechia,1,2,-1,True,1
2012-06-12,UEFA Euro,Poland,Russia,1,1,0,True,0
2012-06-13,UEFA Euro,Denmark,Portugal,2,3,-1,True,1
2012-06-13,UEFA Euro,Netherlands,Germany,1,2,-1,True,1
2012-06-14,UEFA Euro,Italy,Croatia,1,1,0,True,0
2012-06-14,UEFA Euro,Spain,Republic of Ireland,4,0,1,True,4
2012-06-15,UEFA Euro,Ukraine,France,0,2,-1,True,2
2012-06-15,UEFA Euro,Sweden,England,2,3,-1,True,1
2012-06-16,UEFA Euro,Poland,Czechia,1,0,1,True,1
2012-06-16,UEFA Euro,Greece,Russia,1,0,1,True,1
2012-06-17,UEFA Euro,Portugal,Netherlands,2,1,1,True,1
2012-06-17,UEFA Euro,Denmark,Germany,1,2,-1,True,1
2012-06-18,UEFA Euro,Italy,Republic of Ireland,2,0,1,True,2
2012-06-18,UEFA Euro,Croatia,Spain,0,1,-1,True,1
2012-06-19,UEFA Euro,Ukraine,England,1,0,1,True,1
2012-06-19,UEFA Euro,Sweden,France,2,0,1,True,2
2012-06-21,UEFA Euro,Czechia,Portugal,0,1,-1,True,1
2012-06-22,UEFA Euro,Germany,Greece,4,2,1,True,2
2012-06-23,UEFA Euro,Spain,France,2,0,1,True,2
2012-06-24,UEFA Euro,England,Italy,0,0,0,True,0
2012-06-27,UEFA Euro,Portugal,Spain,0,0,0,True,0
2012-06-28,UEFA Euro,Germany,Italy,1,2,-1,True,1
2012-07-01,UEFA Euro,Spain,Italy,4,0,1,True,4
2014-06-12,World Cup,Brazil,Croatia,3,1,1,True,2
2014-06-13,World Cup,Mexico,Cameroon,1,0,1,True,1
2014-06-13,World Cup,Spain,Netherlands,1,5,-1,True,4
2014-06-13,World Cup,Chile,Australia,3,1,1,True,2
2014-06-14,World Cup,Uruguay,Costa Rica,1,3,-1,True,2
2014-06-14,World Cup,Colombia,Greece,3,0,1,True,3
2014-06-14,World Cup,England,Italy,1,2,-1,True,1
2014-06-15,World Cup,Ivory Coast,Japan,2,1,1,True,1
2014-06-15,World Cup,Switzerland,Ecuador,2,1,1,True,1
2014-06-15,World Cup,France,Honduras,3,0,1,True,3
