date,tournament,home_team,away_team,home_score,away_score,result,neutral,goal_diff,home_elo_pre,away_elo_pre,elo_diff,home_win_pct_10g,home_gf_avg_10g,home_ga_avg_10g,home_gd_avg_10g,away_win_pct_10g,away_gf_avg_10g,away_ga_avg_10g,away_gd_avg_10g,gd_diff_10g,win_pct_diff_10g,result_class
2006-06-14,World Cup,Tunisia,Saudi Arabia,2,2,0,True,0,1746.5,1710.6,35.90000000000009,0.0,0.3333333333333333,1.6666666666666667,-1.3333333333333333,0.0,0.0,4.0,-4.0,2.666666666666667,0.0,1
2006-06-14,World Cup,Spain,Ukraine,4,0,1,True,4,1993.9,1750.0,243.9000000000001,0.6,2.0,1.0,1.0,,,,,,,2
2006-06-15,World Cup,Ecuador,Costa Rica,3,0,1,True,3,1847.7,1802.6,45.100000000000136,0.5,1.0,1.0,0.0,0.25,1.75,2.5,-0.75,0.75,0.25,2
2006-06-15,World Cup,England,Trinidad and Tobago,2,0,1,True,2,2012.5,1759.1,253.4000000000001,0.5,1.1666666666666667,0.5,0.6666666666666666,,,,,,,2
2006-06-15,World Cup,Sweden,Paraguay,1,0,1,True,1,1849.7,1780.2,69.5,0.2,1.0,1.0,0.0,0.2,1.2,1.6,-0.4,0.4,0.0,2
2006-06-16,World Cup,Mexico,Angola,0,0,0,True,0,1900.2,1732.0,168.20000000000005,0.6,1.4,1.0,0.4,,,,,,,1
2006-06-16,World Cup,Netherlands,Ivory Coast,2,1,1,True,1,1955.1,1736.0,219.0999999999999,,,,,,,,,,,2
2006-06-16,World Cup,Argentina,Serbia & Montenegro,6,0,1,True,6,1970.6,1734.9,235.69999999999982,0.5,1.0,0.75,0.25,,,,,,,2
2006-06-17,World Cup,Czechia,Ghana,0,2,-1,True,2,1871.7,1777.3,94.40000000000009,,,,,,,,,,,0
2006-06-17,World Cup,Italy,United States,1,1,0,True,0,1920.4,1785.3,135.10000000000014,0.4,1.4,1.0,0.4,0.3333333333333333,1.1666666666666667,1.6666666666666667,-0.5,0.9,0.06666666666666671,1
2006-06-17,World Cup,Portugal,Iran,2,0,1,True,2,1915.6,1766.4,149.19999999999982,0.5,1.75,1.0,0.75,,,,,,,2
2006-06-18,World Cup,Brazil,Australia,2,0,1,True,2,2166.4,1851.7,314.70000000000005,1.0,2.375,0.5,1.875,,,,,,,2
2006-06-18,World Cup,France,South Korea,1,1,0,True,0,1899.3,1892.5,6.7999999999999545,0.0,0.0,0.75,-0.75,0.5,1.25,0.875,0.375,-1.125,-0.5,1
2006-06-18,World Cup,Japan,Croatia,0,0,0,True,0,1817.5,1845.1,-27.59999999999991,0.4,1.2,1.2,0.0,0.25,0.5,1.0,-0.5,0.5,0.15000000000000002,1
2006-06-19,World Cup,Saudi Arabia,Ukraine,0,4,-1,True,4,1713.7,1738.2,-24.5,0.0,0.5,3.5,-3.0,,,,,,,0
2006-06-19,World Cup,Spain,Tunisia,3,1,1,True,2,2016.1,1743.4,272.6999999999998,0.6666666666666666,2.3333333333333335,0.8333333333333334,1.5,0.0,0.75,1.75,-1.0,2.5,0.6666666666666666,2
2006-06-19,World Cup,Togo,Switzerland,0,2,-1,True,2,1730.2,1854.6,-124.39999999999986,,,,,,,,,,,0
2006-06-20,World Cup,Sweden,England,2,2,0,True,0,1873.8,2029.5,-155.70000000000005,0.3333333333333333,1.0,0.8333333333333334,0.16666666666666666,0.5714285714285714,1.2857142857142858,0.42857142857142855,0.8571428571428571,-0.6904761904761905,-0.23809523809523808,1
2006-06-20,World Cup,Paraguay,Trinidad and Tobago,2,0,1,True,2,1756.1,1747.8,8.299999999999955,0.16666666666666666,1.0,1.5,-0.5,,,,,,,2
2006-06-20,World Cup,Ecuador,Germany,0,3,-1,True,3,1893.4,2066.8,-173.4000000000001,0.6,1.4,0.8,0.6,0.7777777777777778,2.111111111111111,0.5555555555555556,1.5555555555555556,-0.9555555555555556,-0.1777777777777778,0
2006-06-20,World Cup,Costa Rica,Poland,1,2,-1,True,1,1776.4,1775.3,1.1000000000001364,0.2,1.4,2.6,-1.2,0.2,0.6,2.0,-1.4,0.19999999999999996,0.0,0
2006-06-21,World Cup,Iran,Angola,1,1,0,True,0,1748.5,1745.5,3.0,,,,,,,,,,,1
2006-06-21,World Cup,Portugal,Mexico,2,1,1,True,1,1942.3,1886.8,55.5,0.6,1.8,0.8,1.0,0.5,1.1666666666666667,0.8333333333333334,0.3333333333333333,0.6666666666666667,0.09999999999999998,2
2006-06-21,World Cup,Ivory Coast,Serbia & Montenegro,3,2,1,True,1,1722.7,1722.7,0.0,,,,,,,,,,,2
2006-06-21,World Cup,Netherlands,Argentina,0,0,0,True,0,1968.3,1996.7,-28.40000000000009,,,,,0.6,2.0,0.6,1.4,,,1
2006-06-22,World Cup,Japan,Brazil,1,4,-1,True,3,1819.8,2179.1,-359.29999999999995,0.3333333333333333,1.0,1.0,0.0,1.0,2.3333333333333335,0.4444444444444444,1.8888888888888888,-1.8888888888888888,-0.6666666666666667,0
2006-06-22,World Cup,Croatia,Australia,2,2,0,True,0,1842.7,1843.2,-0.5,0.2,0.4,0.8,-0.4,,,,,,,1
2006-06-22,World Cup,Czechia,Italy,0,2,-1,True,2,1833.8,1909.3,-75.5,,,,,0.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,,,0
2006-06-22,World Cup,Ghana,United States,2,1,1,True,1,1834.2,1796.4,37.799999999999955,,,,,0.2857142857142857,1.1428571428571428,1.5714285714285714,-0.42857142857142855,,,2
2006-06-23,World Cup,Togo,France,0,2,-1,True,2,1710.5,1898.7,-188.20000000000005,,,,,0.0,0.2,0.8,-0.6,,,0
2006-06-23,World Cup,Switzerland,South Korea,2,0,1,True,2,1884.2,1893.1,-8.899999999999864,,,,,0.4444444444444444,1.2222222222222223,0.8888888888888888,0.3333333333333333,,,2
2006-06-23,World Cup,Ukraine,Tunisia,1,0,1,True,1,1790.5,1733.1,57.40000000000009,,,,,0.0,0.8,2.0,-1.2,,,2
2006-06-23,World Cup,Saudi Arabia,Spain,0,1,-1,True,1,1685.8,2031.6,-345.79999999999995,0.0,0.4,3.6,-3.2,0.7142857142857143,2.4285714285714284,0.8571428571428571,1.5714285714285714,-4.771428571428571,-0.7142857142857143,0
2006-06-24,World Cup,Germany,Sweden,2,0,1,True,2,2095.1,1886.4,208.69999999999982,0.8,2.2,0.5,1.7,0.2857142857142857,1.1428571428571428,1.0,0.14285714285714285,1.5571428571428572,0.5142857142857143,2
2006-06-24,World Cup,Argentina,Mexico,2,1,1,True,1,1994.2,1861.5,132.70000000000005,0.5,1.6666666666666667,0.5,1.1666666666666667,0.42857142857142855,1.1428571428571428,1.0,0.14285714285714285,1.023809523809524,0.07142857142857145,2
2006-06-25,World Cup,England,Ecuador,1,0,1,True,1,2016.9,1877.2,139.70000000000005,0.5,1.375,0.625,0.75,0.5,1.1666666666666667,1.1666666666666667,0.0,0.75,0.0,2
2006-06-25,World Cup,Portugal,Netherlands,1,0,1,True,1,1967.6,1970.7,-3.1000000000001364,0.6666666666666666,1.8333333333333333,0.8333333333333334,1.0,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.33333333333333337,0.0,2
2006-06-26,World Cup,Italy,Australia,1,0,1,True,1,1944.6,1843.2,101.39999999999986,0.42857142857142855,1.4285714285714286,0.8571428571428571,0.5714285714285714,0.3333333333333333,1.6666666666666667,1.6666666666666667,0.0,0.5714285714285714,0.09523809523809523,2
2006-06-26,World Cup,Switzerland,Ukraine,0,0,0,True,0,1930.3,1815.6,114.70000000000005,0.6666666666666666,1.3333333333333333,0.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.0,0.0,1
2006-06-27,World Cup,Spain,France,1,3,-1,True,2,2038.8,1921.5,117.29999999999995,0.75,2.25,0.75,1.5,0.16666666666666666,0.5,0.6666666666666666,-0.16666666666666666,1.6666666666666667,0.5833333333333334,0
