Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Andrew Kittredge,36,1,Maj-AL,Baltimore,15,0,,1.0,,12.2,16,12,10,4,14,3,0,7.11,54,2,0,1,0,1,8,0,0,59,210,0.68,0.15,0.12,0.49,0.29,0.05,1.579,0.342,9.9,3.5,552640
George Klassen,24,55,Maj-AL,Los Angeles,2,2,,1.0,,4.2,7,7,6,10,6,1,0,11.57,22,2,0,0,0,0,2,0,0,32,145,0.51,0.1,0.13,0.56,0.25,0.0,3.643,0.4,11.6,0.6,691946
John Klein,24,6,Maj-AL,Minnesota,3,0,,1.0,,4.1,3,2,2,4,2,1,0,4.15,14,1,0,0,1,1,3,0,0,19,82,0.63,0.16,0.04,0.31,0.15,0.15,1.615,0.167,4.2,0.5,804619
Will Klein,26,1,Maj-NL,Los Angeles,21,1,1.0,2.0,1.0,25.2,23,7,7,9,27,1,1,2.45,97,3,0,2,2,0,1,2,0,107,418,0.65,0.21,0.09,0.47,0.29,0.1,1.247,0.319,9.5,3.0,694361
Jack Kochanowicz,25,5,Maj-AL,Los Angeles,12,12,2.0,4.0,,63.2,59,40,37,35,46,6,5,5.23,244,5,2,1,5,4,1,0,0,288,1068,0.61,0.16,0.1,0.57,0.18,0.04,1.476,0.27,6.5,1.31,686799
Jared Koenig,32,62,Maj-NL,Milwaukee,3,0,,,,2.1,3,2,0,2,4,0,0,0.0,11,2,0,2,0,0,0,0,0,13,46,0.63,0.26,0.13,0.57,0.29,0.0,2.143,0.429,15.4,2.0,657649
Stephen Kolek,29,2,Maj-AL,Kansas City,6,6,3.0,1.0,,38.0,29,16,14,8,27,5,1,3.32,140,6,0,0,3,0,2,0,0,149,554,0.64,0.17,0.08,0.5,0.22,0.05,0.974,0.222,6.4,3.38,663568
Christian Koss,28,27,Maj-NL,San Francisco,2,0,,,,2.0,5,3,3,0,0,0,0,13.5,10,2,0,0,1,0,0,0,0,10,28,0.61,0.18,0.04,0.4,0.4,0.0,2.5,0.5,0.0,,683766
Dean Kremer,30,48,Maj-AL,Baltimore,2,2,,1.0,,11.0,8,7,5,2,16,4,0,4.09,41,1,0,0,1,0,1,0,0,43,175,0.65,0.18,0.14,0.36,0.16,0.04,0.909,0.19,13.1,8.0,665152
Brooks Kriske,32,24,Maj-AL,Athletics,2,0,,,,2.2,2,0,0,1,2,0,0,0.0,10,0,0,0,0,0,0,0,0,11,40,0.63,0.18,0.1,0.25,0.25,0.5,1.125,0.25,6.8,2.0,621139
