Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
PJ Poulin,29,9,Maj-NL,Washington,25,7,3.0,,2.0,24.2,20,10,9,16,17,4,1,3.28,89,5,0,1,4,0,1,0,1,106,455,0.61,0.2,0.06,0.48,0.12,0.11,1.459,0.235,6.2,1.06,676571
Cade Povich,26,29,Maj-AL,Baltimore,4,3,1.0,1.0,,19.1,19,11,11,7,12,4,1,5.12,74,4,0,0,3,0,0,0,0,82,304,0.63,0.16,0.11,0.42,0.18,0.08,1.345,0.259,5.6,1.71,700249
Connor Prielipp,25,3,Maj-AL,Minnesota,8,8,2.0,3.0,,39.1,36,28,23,17,42,4,2,5.26,148,6,1,0,3,3,4,1,0,173,708,0.63,0.17,0.09,0.41,0.22,0.1,1.347,0.305,9.6,2.47,687570
Matt Pushard,28,6,Maj-NL,St. Louis,6,0,,,,7.0,6,5,4,4,6,0,1,5.14,25,1,0,0,2,1,0,0,0,32,120,0.59,0.18,0.06,0.35,0.35,0.0,1.429,0.3,7.7,1.5,690155
Cal Quantrill,31,2,Maj-AL,Texas,11,0,3.0,,,22.1,18,9,6,8,15,1,1,2.42,80,4,0,0,5,1,6,0,0,90,365,0.62,0.17,0.08,0.32,0.32,0.11,1.164,0.262,6.0,1.88,615698
Jose Quintana,37,12,Maj-NL,Colorado,9,9,2.0,3.0,,41.0,45,27,24,17,20,6,1,5.27,156,11,2,0,4,5,4,0,1,181,688,0.6,0.13,0.1,0.36,0.23,0.1,1.512,0.289,4.4,1.18,500779
Cole Ragans,28,30,Maj-AL,Kansas City,8,8,1.0,4.0,,35.1,27,20,19,23,45,10,0,4.84,127,5,0,0,3,1,3,2,0,151,639,0.6,0.15,0.13,0.35,0.19,0.08,1.415,0.233,11.5,1.96,666142
Brooks Raley,38,2,Maj-NL,New York,26,0,1.0,1.0,,23.1,18,5,4,11,27,2,2,1.54,85,3,0,1,1,1,0,0,0,100,378,0.63,0.2,0.11,0.33,0.27,0.13,1.243,0.281,10.4,2.45,548384
Yohan Ram\xc3\xadrez,31,2,Maj-NL,Pittsburgh,27,0,3.0,2.0,1.0,34.2,30,22,19,18,39,4,7,4.93,131,11,0,7,4,0,1,1,0,156,571,0.64,0.18,0.12,0.47,0.25,0.07,1.385,0.295,10.1,2.17,670990
Wilkin Ramos,25,1,Maj-NL,San Francisco,2,0,,,,2.0,5,5,5,4,1,0,0,22.5,11,1,0,0,0,0,0,0,0,15,61,0.59,0.21,0.1,0.5,0.3,0.0,4.5,0.5,4.5,0.25,678576
Alan Rangel,28,44,Maj-NL,Philadelphia,1,0,,,,3.0,3,1,1,0,5,0,0,3.0,12,1,0,0,0,0,1,0,0,12,44,0.61,0.18,0.14,0.29,0.29,0.29,1.0,0.429,15.0,,660604
Nick Raquet,30,34,Maj-AL,Baltimore,3,0,,,,2.2,3,3,3,2,1,1,1,10.13,11,1,0,0,0,0,0,0,0,14,64,0.58,0.19,0.02,0.2,0.2,0.1,1.875,0.222,3.4,0.5,675919
Taylor Rashi,30,53,Maj-NL,Arizona,3,0,1.0,,,3.2,3,4,4,1,4,1,0,9.82,14,0,0,0,0,0,0,0,0,15,45,0.76,0.09,0.29,0.5,0.2,0.0,1.091,0.222,9.8,4.0,688497
Drew Rasmussen,30,0,Maj-AL,Tampa Bay,12,12,5.0,2.0,,66.0,49,24,22,12,64,8,1,3.0,244,5,0,0,3,1,13,2,0,258,1017,0.65,0.17,0.1,0.52,0.21,0.07,0.924,0.237,8.7,5.33,656876
Robbie Ray,34,0,Maj-NL,San Francisco,13,13,4.0,6.0,,67.2,59,35,31,36,63,13,0,4.12,247,11,1,0,5,5,13,4,3,290,1237,0.61,0.13,0.11,0.33,0.23,0.07,1.404,0.261,8.4,1.75,592662
Colin Rea,35,2,Maj-NL,Chicago,13,10,5.0,3.0,1.0,64.2,65,34,33,22,52,9,3,4.59,251,9,0,0,1,1,3,3,4,278,1073,0.63,0.17,0.09,0.47,0.21,0.06,1.345,0.293,7.2,2.36,607067
Orlando Ribalta,28,2,Maj-NL,Washington,16,0,,,2.0,16.1,10,4,3,6,13,0,0,1.65,56,4,0,0,1,1,0,1,0,64,269,0.65,0.13,0.12,0.44,0.16,0.18,0.98,0.227,7.2,2.17,687377
Trevor Richards,33,0,"Maj-AL,Maj-NL","Chicago,Philadelphia",13,0,,,,18.2,15,10,10,5,15,4,0,4.82,70,3,0,0,0,0,0,0,0,75,278,0.64,0.15,0.08,0.24,0.22,0.15,1.071,0.216,7.2,3.0,670950
Lyon Richardson,26,4,Maj-NL,Cincinnati,2,1,,1.0,,1.2,2,5,5,2,3,2,1,27.0,7,0,0,0,0,0,0,0,0,10,41,0.46,0.17,0.1,0.25,0.0,0.25,2.4,0.0,16.2,1.5,680689
Yacksel R\xc3\xados,33,40,Maj-NL,Chicago,1,0,,,,1.2,0,0,0,0,2,0,0,0.0,5,0,0,0,0,0,0,0,0,5,13,0.77,0.31,0.15,0.33,0.33,0.0,0.0,0.0,10.8,,605441
JR Ritchie,23,18,Maj-NL,Atlanta,5,5,1.0,1.0,,25.2,21,15,13,16,21,4,3,4.56,95,2,0,0,2,0,2,1,1,114,449,0.59,0.15,0.09,0.49,0.23,0.03,1.442,0.243,7.4,1.31,702275
Eduardo Rivera,23,44,Maj-AL,Boston,1,0,,,,3.1,1,0,0,0,3,0,0,0.0,10,0,0,0,1,0,0,0,0,10,41,0.63,0.17,0.17,0.71,0.0,0.14,0.3,0.143,8.1,,700842
Christian Roa,27,50,Maj-AL,Houston,7,0,,1.0,,8.2,10,5,5,7,6,1,3,5.19,32,1,1,0,0,1,2,1,1,43,178,0.56,0.1,0.08,0.33,0.26,0.15,1.962,0.346,6.2,0.86,685005
Ethan Roberts,28,0,Maj-NL,Chicago,14,0,,1.0,,18.1,13,5,4,7,14,1,2,1.96,63,2,0,0,4,0,1,1,0,72,291,0.62,0.18,0.1,0.59,0.18,0.04,1.091,0.25,6.9,2.0,681799
Kumar Rocker,26,0,Maj-AL,Texas,12,11,2.0,5.0,,61.0,55,24,24,26,49,6,2,3.54,232,6,2,0,3,2,9,1,0,262,1026,0.61,0.14,0.1,0.48,0.24,0.06,1.328,0.274,7.2,1.88,677958
Carlos Rod\xc3\xb3n,33,1,Maj-AL,New York,5,5,1.0,2.0,,25.0,14,9,8,16,27,1,1,2.88,85,4,0,0,1,1,2,1,0,104,450,0.6,0.13,0.12,0.5,0.17,0.05,1.2,0.224,9.7,1.69,607074
Bradgley Rodriguez,22,3,Maj-NL,San Diego,25,2,,2.0,,28.2,22,7,5,9,26,0,0,1.57,106,4,1,1,2,1,0,0,1,117,451,0.68,0.16,0.14,0.59,0.16,0.1,1.081,0.272,8.2,2.89,699134
Carlos Rodriguez,24,6,Maj-NL,Milwaukee,4,0,,,,9.1,10,4,4,4,8,1,0,3.86,38,2,0,0,0,0,0,0,0,42,182,0.6,0.1,0.13,0.23,0.3,0.1,1.5,0.31,7.7,2.0,692230
Eduardo Rodr\xc3\xadguez,33,4,Maj-NL,Arizona,12,12,5.0,1.0,,72.1,60,19,18,26,52,5,0,2.24,270,16,1,0,6,0,4,0,0,296,1135,0.63,0.17,0.07,0.42,0.27,0.05,1.189,0.258,6.5,2.0,593958
Elmer Rodr\xc3\xadguez,22,19,Maj-AL,New York,3,3,,1.0,,13.0,15,6,6,9,6,0,3,4.15,51,2,0,0,1,1,1,1,0,64,238,0.57,0.18,0.1,0.46,0.28,0.07,1.846,0.326,4.2,0.67,695684
Grayson Rodriguez,26,3,Maj-AL,Los Angeles,4,4,2.0,2.0,,18.0,23,20,19,11,17,4,0,9.5,73,3,1,0,2,2,0,0,0,86,355,0.63,0.18,0.09,0.33,0.28,0.07,1.889,0.352,8.5,1.55,680570
Yariel Rodr\xc3\xadguez,29,0,Maj-AL,Toronto,10,0,,1.0,,9.1,12,11,8,7,6,2,1,7.71,37,1,0,0,2,0,3,1,1,45,172,0.57,0.16,0.06,0.39,0.29,0.1,2.036,0.345,5.8,0.86,684320
Jake Rogers,31,24,Maj-AL,Detroit,2,0,,,,1.1,2,0,0,0,1,0,0,0.0,6,0,0,0,0,0,0,0,0,6,20,0.6,0.25,0.05,0.6,0.2,0.2,1.5,0.4,6.8,,668670
Taylor Rogers,35,1,Maj-AL,Minnesota,27,0,1.0,3.0,2.0,23.1,31,12,12,6,17,1,1,4.63,95,6,1,0,1,1,4,2,2,104,397,0.65,0.19,0.07,0.31,0.33,0.05,1.586,0.385,6.6,2.83,573124
Trevor Rogers,28,1,Maj-AL,Baltimore,11,11,3.0,6.0,,54.1,63,40,38,19,41,8,1,6.29,220,15,2,0,7,2,4,0,0,242,959,0.67,0.16,0.11,0.37,0.28,0.13,1.509,0.318,6.8,2.16,669432
Tyler Rogers,35,1,Maj-AL,Toronto,29,0,1.0,2.0,2.0,27.2,21,8,7,9,16,0,0,2.28,102,3,0,3,2,0,0,1,0,112,389,0.69,0.2,0.07,0.67,0.18,0.05,1.084,0.244,5.2,1.78,643511
Kendry Rojas,23,13,Maj-AL,Minnesota,5,1,1.0,,,14.1,11,2,2,10,14,0,1,1.26,49,2,0,0,3,0,0,0,1,61,227,0.59,0.15,0.12,0.44,0.22,0.11,1.465,0.314,8.8,1.4,696070
Miguel Rojas,37,10,Maj-NL,Los Angeles,2,0,,,,2.0,9,6,6,1,0,2,1,27.0,15,2,0,0,0,0,0,0,0,17,41,0.59,0.1,0.02,0.4,0.27,0.07,5.0,0.538,0.0,0.0,500743
Ryan Rolison,28,1,Maj-NL,Chicago,17,0,4.0,1.0,,20.2,16,8,6,10,19,3,0,2.61,71,2,0,0,3,1,1,1,2,83,316,0.6,0.18,0.07,0.5,0.19,0.06,1.258,0.26,8.3,1.9,669020
Jordan Romano,33,41,Maj-AL,Los Angeles,11,0,,2.0,4.0,8.0,11,9,9,6,12,1,1,10.13,35,4,0,0,0,0,2,0,0,42,192,0.61,0.21,0.13,0.35,0.3,0.13,2.125,0.455,13.5,2.0,605447
JoJo Romero,29,2,Maj-NL,St. Louis,28,0,,1.0,,28.0,24,11,11,11,28,3,2,3.54,103,4,1,1,2,0,0,1,0,118,479,0.62,0.22,0.08,0.51,0.26,0.04,1.25,0.292,9.0,2.55,668941
Joe Ross,33,64,Maj-NL,Arizona,3,0,,,,3.2,7,8,8,4,2,1,0,19.64,18,2,0,0,0,0,0,0,0,22,92,0.54,0.09,0.15,0.44,0.25,0.13,3.0,0.4,4.9,0.5,605452
Landen Roupp,27,4,Maj-NL,San Francisco,12,12,5.0,6.0,,64.0,57,34,30,27,72,3,2,4.22,240,14,2,0,7,1,0,2,0,271,1139,0.6,0.18,0.1,0.51,0.27,0.05,1.313,0.325,10.1,2.67,694738
Chris Roycroft,29,62,Maj-NL,St. Louis,5,0,,,,3.2,8,5,5,5,3,1,0,12.27,19,0,0,0,0,0,0,0,0,25,97,0.57,0.16,0.04,0.71,0.18,0.0,3.545,0.467,7.4,0.6,688297
Jackson Rutledge,27,53,Maj-NL,Washington,1,0,,,,1.1,6,7,7,2,2,0,0,47.25,10,1,1,0,0,0,1,0,0,12,44,0.68,0.16,0.18,0.75,0.13,0.0,6.0,0.75,13.5,1.0,671131
Joe Ryan,30,4,Maj-AL,Minnesota,13,13,4.0,3.0,,70.1,54,30,25,14,79,6,5,3.2,261,16,0,0,2,2,11,3,1,282,1130,0.68,0.17,0.12,0.38,0.21,0.11,0.967,0.27,10.1,5.64,657746
Erik Sabrowski,28,16,Maj-AL,Cleveland,25,0,2.0,1.0,,21.0,7,4,4,13,39,1,0,1.71,69,2,0,0,0,1,2,0,0,83,363,0.62,0.16,0.16,0.16,0.39,0.1,0.952,0.2,16.7,3.0,681870
C\xc3\xa9sar Salazar,30,30,Maj-AL,Houston,1,0,,,,1.0,1,1,1,0,0,1,0,9.0,4,0,0,0,0,0,0,0,0,4,10,0.6,0.1,0.0,0.25,0.0,0.25,1.0,0.0,0.0,,663967
Chris Sale,37,1,Maj-NL,Atlanta,12,12,8.0,4.0,,72.2,56,20,18,19,86,6,7,2.23,266,9,0,0,4,1,5,2,1,294,1146,0.67,0.18,0.14,0.45,0.26,0.05,1.032,0.286,10.7,4.53,519242
Tyler Samaniego,27,3,Maj-AL,Boston,20,1,,3.0,,20.1,22,8,6,8,17,1,2,2.66,77,2,0,0,1,1,1,1,0,90,315,0.62,0.18,0.08,0.49,0.24,0.06,1.475,0.35,7.5,2.13,701719
Cristopher S\xc3\xa1nchez,29,2,Maj-NL,Philadelphia,13,13,7.0,2.0,,86.1,77,19,14,17,103,3,1,1.46,329,16,0,0,5,1,2,1,1,349,1237,0.68,0.18,0.16,0.58,0.21,0.04,1.089,0.33,10.7,6.06,650911
Cam Sanders,29,5,Maj-NL,Pittsburgh,6,0,,,,6.0,6,6,6,5,8,0,1,9.0,23,2,0,0,0,0,0,0,0,30,121,0.62,0.12,0.17,0.31,0.38,0.13,1.833,0.4,12.0,1.6,676742
David Sandlin,25,4,Maj-AL,Chicago,2,2,1.0,1.0,,10.0,9,9,9,4,8,2,0,8.1,38,1,0,0,0,0,2,0,0,42,141,0.6,0.18,0.09,0.37,0.3,0.03,1.3,0.25,7.2,2.0,689818
Nick Sandlin,29,33,Maj-AL,Los Angeles,8,0,,1.0,,8.2,9,11,11,5,6,2,3,11.42,31,2,0,0,1,1,2,3,0,40,157,0.54,0.15,0.1,0.42,0.15,0.04,1.615,0.292,6.2,1.2,680704
Cole Sands,28,38,Maj-AL,Minnesota,12,0,1.0,1.0,1.0,11.2,12,6,6,4,11,2,0,4.63,44,1,1,0,1,1,0,0,0,50,181,0.65,0.18,0.11,0.46,0.23,0.0,1.371,0.313,8.5,2.75,663485
Javier Sanoja,23,5,Maj-NL,Miami,2,0,,,,2.0,1,0,0,0,1,0,0,0.0,7,1,0,0,0,0,0,0,0,7,22,0.68,0.14,0.05,0.0,0.5,0.0,0.5,0.167,4.5,,691594
Alimber Santa,23,2,Maj-AL,Houston,4,0,,1.0,,6.0,0,2,1,2,5,0,0,1.5,17,0,0,0,0,1,0,0,0,20,83,0.61,0.14,0.11,0.46,0.23,0.0,0.333,0.0,7.5,2.5,695001
Dennis Santana,30,0,Maj-NL,Pittsburgh,28,0,2.0,3.0,2.0,25.2,26,17,15,14,21,3,2,5.26,101,10,0,1,1,0,5,0,0,117,444,0.63,0.14,0.11,0.31,0.29,0.1,1.558,0.299,7.4,1.5,642701
Tony Santillan,29,2,Maj-NL,Cincinnati,26,0,1.0,3.0,2.0,23.0,25,18,17,13,22,9,0,6.65,90,2,0,0,2,0,0,0,2,104,390,0.62,0.18,0.07,0.3,0.25,0.03,1.652,0.271,8.6,1.69,663574
Gregory Santos,26,27,Maj-NL,San Francisco,3,0,,,,5.0,5,5,2,3,1,0,0,3.6,19,2,1,0,0,0,2,2,0,22,86,0.63,0.2,0.01,0.5,0.28,0.06,1.6,0.278,1.8,0.33,666619
Roki Sasaki,24,0,Maj-NL,Los Angeles,11,11,3.0,3.0,,58.0,52,27,26,21,60,10,4,4.03,221,13,0,0,4,0,5,0,0,247,994,0.65,0.15,0.14,0.45,0.2,0.08,1.259,0.278,9.3,2.86,808963
Tayler Saucedo,33,13,Maj-AL,Los Angeles,4,0,,,,2.0,2,1,1,0,3,0,1,4.5,7,2,0,0,0,0,0,0,0,8,29,0.62,0.14,0.21,0.25,0.25,0.0,1.0,0.5,13.5,,642048
Max Scherzer,41,42,Maj-AL,Toronto,5,5,1.0,3.0,,18.2,22,20,20,8,10,7,1,9.64,74,2,0,0,1,1,1,0,1,84,343,0.65,0.14,0.06,0.28,0.25,0.18,1.607,0.259,4.8,1.25,453286
Cam Schlittler,25,3,Maj-AL,New York,13,13,7.0,3.0,,76.1,53,19,16,13,84,4,1,1.89,277,10,2,0,4,2,3,1,0,295,1156,0.69,0.14,0.14,0.46,0.21,0.06,0.865,0.257,9.9,6.46,693645
Jesse Scholtens,32,11,Maj-AL,Tampa Bay,9,2,5.0,3.0,,37.2,37,18,16,11,30,8,3,3.82,149,8,1,1,2,1,0,1,0,164,601,0.65,0.16,0.09,0.37,0.24,0.13,1.274,0.259,7.2,2.73,669947
John Schreiber,32,1,Maj-AL,Kansas City,27,0,,3.0,1.0,24.1,21,9,8,11,16,4,1,2.96,86,5,0,3,4,2,1,0,0,101,397,0.62,0.18,0.08,0.47,0.25,0.05,1.315,0.25,5.9,1.45,670167
Noah Schultz,22,12,Maj-AL,Chicago,8,8,2.0,4.0,,38.2,30,26,25,22,33,4,4,5.82,139,9,2,0,2,1,4,3,0,168,652,0.6,0.19,0.08,0.37,0.26,0.12,1.345,0.252,7.7,1.5,702273
Paxton Schultz,28,0,Maj-NL,Washington,19,1,,2.0,1.0,24.1,26,15,12,7,26,2,1,4.44,97,2,1,1,0,1,4,1,0,108,425,0.63,0.19,0.08,0.36,0.19,0.08,1.356,0.343,9.6,3.71,687606
Tyler Schweitzer,25,21,Maj-AL,Chicago,4,0,,,,4.0,5,4,4,3,1,0,0,9.0,17,5,0,0,0,0,0,0,0,20,76,0.59,0.16,0.14,0.31,0.44,0.0,2.0,0.313,2.3,0.33,805326
Christian Scott,27,0,Maj-NL,New York,8,8,2.0,,,36.0,29,11,10,18,41,1,5,2.5,133,6,0,0,3,0,2,1,0,156,657,0.63,0.16,0.1,0.29,0.36,0.09,1.306,0.308,10.3,2.28,681035
Tanner Scott,31,0,Maj-NL,Los Angeles,29,0,1.0,3.0,6.0,26.2,17,7,7,3,31,4,0,2.36,95,0,0,0,1,0,2,0,0,99,385,0.72,0.16,0.17,0.35,0.22,0.08,0.75,0.217,10.5,10.33,656945
Connor Seabold,30,0,Maj-AL,"Detroit,Toronto",15,0,1.0,,,18.2,22,9,9,6,15,2,1,4.34,74,3,0,0,0,3,1,1,0,84,336,0.65,0.17,0.09,0.44,0.21,0.05,1.5,0.333,7.2,2.5,657756
Kodai Senga,33,40,Maj-NL,New York,5,5,,4.0,,20.0,26,21,20,13,23,5,1,9.0,83,4,0,0,2,0,1,0,0,97,367,0.6,0.14,0.12,0.32,0.32,0.05,1.95,0.382,10.4,1.77,673540
Antonio Senzatela,31,0,Maj-NL,Colorado,18,0,5.0,,3.0,36.1,25,10,8,10,30,2,1,1.98,128,3,1,1,4,1,0,1,0,140,497,0.66,0.17,0.12,0.46,0.18,0.07,0.963,0.237,7.4,3.0,622608
Luis Severino,32,7,Maj-AL,Athletics,12,12,2.0,6.0,,62.2,61,33,29,31,65,9,2,4.16,236,10,2,0,9,0,3,1,2,271,1086,0.64,0.16,0.09,0.45,0.24,0.05,1.468,0.321,9.3,2.1,622663
Paul Sewald,36,1,Maj-NL,Arizona,26,0,2.0,4.0,15.0,23.1,11,10,9,6,26,4,1,3.47,80,2,1,0,0,0,1,0,0,88,346,0.69,0.17,0.12,0.15,0.16,0.18,0.729,0.14,10.0,4.33,623149
Carson Seymour,27,0,Maj-NL,San Francisco,1,0,,,,3.0,6,3,3,1,1,1,0,9.0,14,1,0,0,1,0,0,0,0,15,45,0.58,0.13,0.07,0.31,0.31,0.0,2.333,0.417,3.0,1.0,693313
Ian Seymour,27,3,Maj-AL,Tampa Bay,26,1,3.0,,2.0,31.0,27,20,18,15,33,4,1,5.23,113,7,1,4,2,3,3,0,0,134,503,0.67,0.19,0.14,0.34,0.24,0.09,1.355,0.291,9.6,2.2,693855
Emmet Sheehan,26,4,Maj-NL,Los Angeles,11,11,3.0,2.0,,58.0,53,29,29,14,62,11,3,4.5,220,15,0,0,1,2,2,1,1,239,969,0.65,0.14,0.15,0.38,0.23,0.1,1.155,0.282,9.6,4.43,686218
TJ Shook,28,2,Maj-NL,Colorado,2,0,,,,2.0,1,0,0,0,0,0,0,0.0,6,1,0,0,0,0,0,0,0,6,15,0.67,0.27,0.0,0.33,0.33,0.0,0.5,0.167,0.0,,669298
Chase Shugart,29,5,Maj-NL,Philadelphia,15,0,2.0,,,19.1,14,5,5,4,20,3,3,2.33,67,1,1,0,2,1,1,2,0,75,297,0.6,0.2,0.07,0.42,0.19,0.08,0.931,0.244,9.3,5.0,663767
Jared Shuster,27,30,Maj-NL,St. Louis,4,0,,,,7.2,6,3,2,3,2,0,0,2.35,29,2,0,1,1,0,1,0,0,32,114,0.59,0.17,0.04,0.52,0.11,0.07,1.174,0.222,2.3,0.67,694363
Chase Silseth,26,0,Maj-AL,Los Angeles,27,0,1.0,1.0,,21.2,16,5,4,14,21,1,1,1.66,77,3,1,1,2,1,5,0,0,94,388,0.61,0.14,0.14,0.47,0.24,0.05,1.385,0.268,8.7,1.5,681217
Josh Simpson,28,23,Maj-AL,Seattle,3,0,,,,2.1,2,2,2,1,3,2,0,7.71,9,0,0,0,0,0,0,0,0,10,40,0.65,0.15,0.13,0.17,0.0,0.17,1.286,0.0,11.6,3.0,681006
Lucas Sims,32,44,Maj-AL,Chicago,9,0,,2.0,,10.0,9,7,5,7,10,1,1,4.5,35,2,0,0,0,1,0,1,0,46,171,0.61,0.18,0.09,0.43,0.21,0.11,1.6,0.32,9.0,1.43,608371
Brady Singer,29,0,Maj-NL,Cincinnati,12,12,2.0,6.0,,55.0,74,40,36,19,42,17,3,5.89,234,9,2,0,2,1,6,2,2,258,1003,0.61,0.17,0.09,0.41,0.28,0.03,1.691,0.324,6.9,2.21,663903
Evan Sisk,29,0,Maj-NL,Pittsburgh,22,0,,,,26.1,19,4,4,10,33,1,3,1.37,90,4,0,0,0,1,4,5,2,105,450,0.6,0.18,0.1,0.37,0.27,0.17,1.101,0.316,11.3,3.3,681895
Paul Skenes,24,2,Maj-NL,Pittsburgh,13,13,6.0,5.0,,70.0,51,28,24,13,82,6,4,3.09,258,10,1,0,2,1,0,1,0,278,1145,0.65,0.14,0.12,0.45,0.25,0.1,0.914,0.263,10.5,6.31,694973
Tarik Skubal,29,37,Maj-AL,Detroit,7,7,3.0,2.0,,43.1,35,14,13,6,45,2,1,2.7,158,9,1,0,9,1,1,0,0,166,626,0.67,0.15,0.14,0.48,0.25,0.04,0.946,0.295,9.3,7.5,669373
Justin Slaten,28,0,Maj-AL,Boston,12,0,,2.0,,11.0,9,5,4,4,14,2,0,3.27,42,1,0,0,0,0,0,0,0,46,175,0.66,0.16,0.11,0.43,0.29,0.0,1.182,0.269,11.5,3.5,686580
Burch Smith,36,15,Maj-AL,Detroit,13,1,,2.0,,17.0,18,8,6,7,20,2,0,3.18,65,6,0,0,3,0,1,0,1,73,287,0.64,0.18,0.09,0.52,0.2,0.02,1.471,0.372,10.6,2.86,572143
Cade Smith,27,2,Maj-AL,Cleveland,28,0,2.0,,21.0,28.2,26,11,9,5,43,1,0,2.83,107,8,0,1,3,3,2,0,0,115,491,0.66,0.16,0.17,0.36,0.25,0.1,1.081,0.379,13.5,8.6,671922
Dylan Smith,26,0,Maj-NL,San Francisco,2,0,,,,1.2,0,0,0,1,2,0,0,0.0,5,0,0,0,0,0,0,0,0,6,21,0.62,0.24,0.1,0.33,0.0,0.33,0.6,0.0,10.8,2.0,681916
Shane Smith,26,59,Maj-AL,Chicago,3,3,,2.0,,8.1,12,12,10,9,11,1,1,10.8,38,4,0,0,0,0,0,0,1,49,225,0.61,0.19,0.1,0.44,0.3,0.04,2.52,0.423,11.9,1.22,681343
Blake Snell,33,27,Maj-NL,Los Angeles,1,1,,1.0,,3.0,6,5,4,2,5,0,0,12.0,16,0,0,0,0,0,2,0,0,18,77,0.65,0.13,0.21,0.64,0.27,0.0,2.667,0.545,15.0,2.5,605483
Robby Snelling,22,28,Maj-NL,Miami,1,1,,1.0,,5.0,5,3,3,4,2,1,0,5.4,18,1,0,0,2,0,0,0,0,22,86,0.63,0.14,0.12,0.5,0.31,0.06,1.8,0.267,3.6,0.5,702281
Chase Solesky,28,18,Maj-AL,Tampa Bay,1,0,,,,3.0,6,2,2,1,4,1,0,6.0,16,2,0,0,0,0,0,0,0,17,58,0.67,0.29,0.02,0.5,0.25,0.08,2.333,0.455,12.0,4.0,686678
Drew Sommers,25,4,Maj-AL,Detroit,2,0,,,,1.0,0,0,0,1,1,0,0,0.0,3,0,0,0,0,0,0,0,0,4,23,0.61,0.13,0.04,1.0,0.0,0.0,1.0,0.0,9.0,1.0,805427
George Soriano,27,3,Maj-NL,St. Louis,26,0,2.0,,2.0,24.2,17,9,8,10,22,3,1,2.92,89,3,0,1,1,1,5,1,0,101,389,0.66,0.18,0.14,0.49,0.15,0.1,1.095,0.215,8.0,2.2,666277
Jos\xc3\xa9 Soriano,27,4,Maj-AL,Los Angeles,13,13,6.0,4.0,,76.0,54,24,23,38,85,7,3,2.72,271,4,0,1,5,1,3,3,1,314,1263,0.61,0.15,0.14,0.52,0.2,0.03,1.211,0.261,10.1,2.24,667755
Michael Soroka,28,3,Maj-NL,Arizona,12,12,7.0,3.0,,67.0,65,26,26,15,66,5,4,3.49,259,14,2,0,1,1,9,3,0,280,1088,0.67,0.17,0.1,0.39,0.25,0.09,1.194,0.317,8.9,4.4,647336
Gregory Soto,31,2,Maj-NL,Pittsburgh,29,0,4.0,1.0,8.0,28.1,13,10,9,12,34,1,2,2.86,97,3,1,0,1,0,1,0,0,111,466,0.61,0.19,0.11,0.46,0.13,0.16,0.882,0.194,10.8,2.83,642397
Bennett Sousa,31,32,Maj-AL,Houston,5,0,,,,3.1,3,3,3,5,4,0,0,8.1,12,0,0,0,0,0,0,1,0,17,73,0.58,0.21,0.08,0.13,0.25,0.0,2.4,0.375,10.8,0.8,656986
Gabe Speier,31,4,Maj-AL,Seattle,18,0,1.0,2.0,1.0,14.2,14,6,4,5,16,1,2,2.45,54,4,0,1,1,2,4,0,0,64,251,0.69,0.15,0.12,0.44,0.24,0.07,1.295,0.333,9.8,3.2,642100
Mitch Spence,28,48,Maj-AL,Kansas City,1,0,,,,4.0,4,6,6,5,3,1,0,13.5,15,0,1,0,0,1,0,0,0,21,84,0.55,0.18,0.06,0.54,0.15,0.08,2.25,0.25,6.8,0.6,687765
Jeffrey Springs,33,2,Maj-AL,Athletics,13,13,3.0,6.0,,70.0,66,38,34,21,60,14,2,4.37,269,12,3,0,4,3,4,1,2,295,1142,0.65,0.18,0.1,0.35,0.25,0.08,1.243,0.263,7.7,2.86,605488
Brandon Sproat,25,0,Maj-NL,Milwaukee,12,10,1.0,4.0,,54.0,55,37,37,29,54,11,5,6.17,204,11,0,0,5,0,5,4,3,240,964,0.61,0.17,0.09,0.43,0.22,0.05,1.556,0.317,9.0,1.86,687075
Ryne Stanek,34,2,Maj-NL,St. Louis,27,0,1.0,,1.0,24.1,23,16,14,18,31,2,1,5.18,94,4,0,1,1,0,2,1,0,114,497,0.61,0.12,0.16,0.37,0.32,0.08,1.685,0.344,11.5,1.72,592773
Justin Sterner,29,2,Maj-AL,Athletics,30,0,2.0,3.0,1.0,30.0,24,13,11,7,27,4,0,3.3,111,3,0,1,2,1,2,0,0,120,471,0.66,0.13,0.15,0.48,0.16,0.03,1.033,0.247,8.1,3.86,686993
Brock Stewart,34,28,Maj-NL,Los Angeles,2,0,,,,2.0,0,0,0,1,3,0,0,0.0,6,0,0,0,0,0,0,0,0,7,28,0.57,0.18,0.18,0.67,0.0,0.0,0.5,0.0,13.5,3.0,592779
Matt Strahm,34,1,Maj-AL,Kansas City,19,0,2.0,1.0,,18.1,15,8,8,7,17,4,1,3.93,70,4,0,0,0,0,1,0,0,78,304,0.67,0.18,0.1,0.3,0.15,0.09,1.2,0.224,8.3,2.43,621381
