player_name,team,season,week,completions,attempts,passing_yards,passing_tds,interceptions,passing_epa,qb_epa_per_att,qb_comp_pct,qb_ypa,qb_td_int_ratio,qb_epa_per_att_4w,qb_comp_pct_4w,qb_ypa_4w,qb_td_int_ratio_4w,qb_epa_per_att_8w,qb_comp_pct_8w,qb_ypa_8w,qb_td_int_ratio_8w
M.Stafford,LA,2024,1,34,49,317.0,1,1.0,4.536421,0.0925800167784399,0.6938775510204082,6.469387755102041,1.0,0.2504148715957601,0.719418449197861,8.39510918003565,2.0416666666666665,0.1947122834837672,0.667400856936511,7.670016895682334,2.458333333333333
M.Stafford,LA,2024,2,19,27,216.0,0,0.0,-11.159593,-0.41331824549922236,0.7037037037037037,8.0,1.0,0.2139027825399798,0.7034938975590236,8.057910664265705,1.5416666666666665,0.22473161943771636,0.6855871637172877,7.712561332812025,2.458333333333333
M.Stafford,LA,2024,3,16,25,221.0,1,0.0,3.4081209,0.1363248348236084,0.64,8.84,2.0,2.5285903728328174e-05,0.7029492352496555,7.646145958383354,1.0416666666666665,0.12305081124195358,0.678853156983281,7.845137090387782,2.270833333333333
M.Stafford,LA,2024,4,20,29,224.0,0,1.0,-1.3406256,-0.046228470473453916,0.6896551724137931,7.724137931034483,0.5,0.027488872269203705,0.6864786470143613,7.525263605442177,1.375,0.12212140294299721,0.6845288326589566,8.007569522820214,2.020833333333333
M.Stafford,LA,2024,5,29,45,260.0,1,1.0,-8.967316,-0.199273681640625,0.6444444444444445,5.777777777777778,1.0,-0.05766046609265698,0.6818091067844763,7.758381421534131,1.125,0.09637720275155155,0.7006137779911686,8.076745300784891,1.5833333333333333
M.Stafford,LA,2024,7,14,23,154.0,0,1.0,-7.2528906,-0.31534306899360987,0.6086956521739131,6.695652173913044,0.5,-0.1306238906974232,0.6694508301404853,7.585478927203065,1.125,0.0416394459212783,0.6864723638497545,7.821694795734386,1.3333333333333335
M.Stafford,LA,2024,8,25,34,279.0,4,1.0,15.890278,0.4673611136043773,0.7352941176470589,8.205882352941176,2.5,-0.10613009657102007,0.6456988172580377,7.259391970681326,1.0,-0.05305240533364588,0.6743240262538466,7.45276896453234,1.0208333333333333
M.Stafford,LA,2024,9,25,44,298.0,2,1.0,3.8734186,0.08803224021738226,0.5681818181818182,6.7727272727272725,1.5,-0.02337102687582783,0.6695223466698024,7.10086255891662,1.125,0.0020589226966879273,0.6780004968420819,7.313063082179399,1.25
M.Stafford,LA,2024,10,32,46,293.0,0,1.0,-7.019565,-0.15259924142257028,0.6956521739130435,6.369565217391305,0.5,0.0101941507968812,0.6391540081118087,6.863009894339817,1.375,-0.0237331576478879,0.6604815574481424,7.310695657936974,1.25
M.Stafford,LA,2024,11,18,27,295.0,4,0.0,16.001793,0.5926589965820312,0.6666666666666666,10.925925925925926,5.0,0.02186276085139488,0.6519559404789584,7.0109567542432,1.25,-0.05438056492301417,0.6607033853097218,7.298217840723132,1.1875
M.Stafford,LA,2024,12,24,36,243.0,2,0.0,5.093638,0.14148994286855063,0.6666666666666666,6.75,3.0,0.24886327724530516,0.6664486941021468,8.068525192246419,2.375,0.07136659033714253,0.6560737556800922,7.663958581463873,1.6875
M.Stafford,LA,2024,13,14,24,183.0,2,0.0,0.29898912,0.012457879881064097,0.5833333333333334,7.625,3.0,0.16739548456134848,0.6492918313570487,7.7045546040111255,2.5,0.0720122288427603,0.6594070890134256,7.402708581463873,1.8125
M.Stafford,LA,2024,14,23,30,320.0,2,0.0,24.56409,0.8188030242919921,0.7666666666666667,10.666666666666666,3.0,0.14850189447726894,0.6530797101449275,7.917622785829307,2.875,0.07934802263707506,0.6461168591283681,7.390316340084563,2.125
M.Stafford,LA,2024,15,16,27,160.0,0,0.0,-5.896531,-0.2183900409274631,0.5925925925925926,5.925925925925926,1.0,0.3913524609059096,0.6708333333333333,8.991898148148147,3.5,0.2066076108786522,0.661394636906146,8.001427451195674,2.375
