season,week,team,off_epa_per_play,off_pass_epa_per_play,off_rush_epa_per_play,def_epa_per_play,off_epa_per_play_4w,def_epa_per_play_4w,off_pass_epa_per_play_4w,off_rush_epa_per_play_4w,off_epa_per_play_8w,def_epa_per_play_8w,off_pass_epa_per_play_8w,off_rush_epa_per_play_8w
2024,15,ARI,0.18832515,0.2555393,0.089904405,0.02341519,0.03838440030813217,-0.017741900868713856,0.1471000500023365,-0.1000020345672965,0.03391255438327789,0.02212767442688346,0.11433584103360772,-0.09973785886541009
2024,16,ARI,0.15068336,0.13703525,0.17524996,0.26164803,-0.012746479362249374,0.014571035280823708,0.027981627732515335,-0.10188782121986151,0.07455911301076412,-0.008497090078890324,0.15385678596794605,-0.051837687846273184
2024,17,ARI,-0.035100263,0.037256084,-0.23494162,-0.067542784,0.08026562631130219,0.0966965164989233,0.10271838679909706,0.04397920612245798,0.08060433063656092,0.01837493758648634,0.13795345090329647,-0.01657503517344594
2024,18,ARI,0.28439182,0.31148496,0.24525724,-0.0005126225,0.05066214967519045,0.08575008530169725,0.07525131665170193,-0.003679235465824604,0.046347137074917555,-0.012057585641741753,0.0876016216352582,-0.038103627506643534
2025,1,ARI,0.061772753,0.13153034,-0.05262968,-0.05713973,0.1470750169828534,0.05425195298448671,0.18532889895141125,0.06886749900877476,0.09272970864549279,0.018255026057886425,0.16621447447687387,-0.015567267779260874
2025,2,ARI,0.0859358,0.25188425,-0.19617656,0.036810167,0.11543691717088223,0.03411322362080682,0.15432666055858135,0.03323397785425186,0.051345218904316425,0.024342129450815264,0.09115414414554834,-0.03432692168280482
2025,3,ARI,0.045186106,0.14542,-0.119197465,-0.09109733,0.09925002790987492,-0.022096241867984645,0.18303891085088253,-0.05962265282869339,0.08975782711058855,0.03730013731546933,0.1428786488249898,-0.007821723353117704
2025,4,ARI,-0.060240176,-0.025497897,-0.20455424,0.10647301,0.11932162009179592,-0.027984879023279063,0.2100798897445202,-0.03068661503493786,0.08499188488349319,0.028882603139209095,0.14266560319811106,-0.01718292525038123
2025,5,ARI,-0.059299063,0.12942807,-0.32890925,-0.02562687,0.033163621090352535,-0.0012384718284010887,0.12583417491987348,-0.14313948713243008,0.09011931903660297,0.02650674057804281,0.15558153693564236,-0.03713599406182766
2025,6,ARI,0.07717057,0.1263886,-0.02982511,0.16485955,0.002895667217671871,0.006639742758125067,0.12530860723927617,-0.21220937930047512,0.05916629219427705,0.020376483189465944,0.13981763389892876,-0.08948770072311163
2025,7,ARI,-0.0025914828,0.123214275,-0.25923523,0.13166411,0.000704360194504261,0.03865208802744746,0.09393469290807843,-0.17062151711434126,0.04997719405218959,0.008277923079731409,0.13848680187948048,-0.11512208497151732
2025,9,ARI,0.123213165,0.21503411,-0.00601629,-0.14641784,-0.011240037041716278,0.09434244921430945,0.08838326158002019,-0.20563095901161432,0.05404079152503982,0.033178785095515195,0.1492315756622702,-0.11815878702327609
2025,10,ARI,-0.20929877,-0.18979095,-0.26782236,0.08774759,0.03462329797912389,0.031119737308472395,0.14851626381278038,-0.15599647024646401,0.03389345953473821,0.014940632740035653,0.13717521936632693,-0.14956797868944705
2025,11,ARI,-0.024636742,0.06698734,-0.31397596,0.19183476,-0.0028766299365088344,0.05946335196495056,0.06871150806546211,-0.14072474697604775,9.518640581518412e-06,0.033051547361537814,0.09701005765236914,-0.17646706313826144
2025,12,ARI,-0.13217132,-0.10029302,-0.24122865,-0.17871149,-0.02832845866214484,0.066207155585289,0.05386119522154331,-0.21176245948299766,-0.01381204923382029,0.05242962180636823,0.07389794406481087,-0.19119198829866946
2025,13,ARI,-0.026304463,0.113547854,-0.41089836,-0.029960442,-0.060723417438566685,-0.011386744678020477,-0.002015627920627594,-0.20726081496104598,-0.03598172724014148,0.04147785226814449,0.0431838168296963,-0.20644588698633015
2025,14,ARI,-0.07870081,-0.065732315,-0.13273619,0.4354662,-0.09810282429680228,0.017727605067193508,-0.027387192472815514,-0.3084813319146633,-0.031739763158839196,0.02442367118783295,0.06056453566998243,-0.23223890108056366
2025,15,ARI,0.03672211,-0.009217804,0.14238392,0.22322595,-0.0654533333145082,0.10465725790709257,0.0036274660378694534,-0.2747097909450531,-0.03416498162550852,0.08206030493602157,0.03616948705166578,-0.20771726896055043
2025,16,ARI,0.02460376,-0.022231026,0.09383779,0.064516105,-0.050113620702177286,0.1125050550326705,-0.015423820819705725,-0.1606198213994503,-0.03922103968216106,0.08935610530897975,0.019218687200918794,-0.18619114044122398
2025,17,ARI,-0.022704843,0.00890171,-0.12968089,0.3303265,-0.010919851250946522,0.173311953432858,0.004091677255928516,-0.07685321010649204,-0.0358216343447566,0.08096260437741876,0.0010380246676504612,-0.142057012533769
2025,18,ARI,-0.02664697,-0.0013789335,-0.1024511,0.22024076,-0.010019946377724409,0.26338368840515614,-0.022069858852773905,-0.006548842415213585,-0.054061385337263346,0.14055564673617482,-0.02472852566279471,-0.15751508716493845
2023,1,ATL,-0.13893579,-0.23330848,-0.05182255,-0.2586715,,,,,,,,
2023,2,ATL,0.09680172,0.070870005,0.12472819,0.1914857,,,,,,,,
2023,3,ATL,-0.2823274,-0.2574441,-0.34519055,-0.05386353,-0.02106703445315361,-0.03359289467334747,-0.08121923729777336,0.03645281866192818,-0.02106703445315361,-0.03359289467334747,-0.08121923729777336,0.03645281866192818
2023,4,ATL,-0.29481187,-0.5104135,0.08505769,0.038609024,-0.1081538274884224,-0.04034977282087008,-0.1399608626961708,-0.09076163917779922,-0.1081538274884224,-0.04034977282087008,-0.1399608626961708,-0.09076163917779922
2023,5,ATL,-0.027242418,0.2576494,-0.36240926,-0.06330834,-0.15481833927333355,-0.02061007358133793,-0.23257402889430523,-0.046806806698441505,-0.15481833927333355,-0.02061007358133793,-0.23257402889430523,-0.046806806698441505
2023,6,ATL,-0.12062153,-0.03906175,-0.2779154,-0.02885565,-0.12689499650150537,0.028230713680386543,-0.10983456112444401,-0.12445348501205444,-0.12930315509438514,-0.029149727523326875,-0.13452934473752975,-0.10992729812860488
2023,7,ATL,-0.028206129,0.3623797,-0.34284472,-0.066590704,-0.18125080969184637,-0.02685462450608611,-0.13731750007718801,-0.2251143790781498,-0.12785621794561544,-0.029100714561839897,-0.11861807915071647,-0.13792531316479048
2023,8,ATL,-0.05054885,-0.12713194,0.10609839,0.039934967,-0.11772048845887184,-0.030036418233066797,0.017638453282415867,-0.22452792152762413,-0.1136204909001078,-0.03445642734212535,-0.049904110708406994,-0.1671995148062706
2023,9,ATL,-0.14726157,-0.033422116,-0.33115608,-0.012273312,-0.056654732674360275,-0.02970493258908391,0.11345885042101145,-0.21926774643361568,-0.10573653597384691,-0.02515750308521092,-0.05955758923664689,-0.1330372765660286
2023,10,ATL,0.022794222,0.075707436,-0.021764303,-0.02299415,-0.08665952179580927,-0.016946174670010805,0.04069097340106964,-0.2114544492214918,-0.10677725914865732,0.005642269505187869,-0.03457179386168718,-0.16795396711677313
2023,12,ATL,0.051049646,0.04350254,0.05594506,-0.06963407,-0.050805583130568266,-0.015480799600481987,0.06938327010720968,-0.14741667779162526,-0.11602819641120732,-0.02116771205328405,-0.033967114984989166,-0.18626552843488753
2023,13,ATL,-0.1973367,-0.087947406,-0.30350867,-0.3358557,-0.030991639476269484,-0.016241641715168953,-0.010336020030081272,-0.047719231341034174,-0.07435606396757066,-0.023139029974117875,0.0036512166261672974,-0.13612357643432915
2023,14,ATL,0.014714231,0.026116198,-0.0076146075,-0.022965625,-0.06768860248848796,-0.11018930654972792,-0.0005398867651820183,-0.1501209964044392,-0.06217166758142412,-0.06994711956940591,0.056459481827914715,-0.18469437141902745
2023,15,ATL,-0.27639684,0.15617086,-0.6045517,-0.16191311,-0.027194651076570153,-0.11286238487809896,0.014344691764563322,-0.06923562951851636,-0.05692708643618971,-0.06490427977405488,0.02751783258281648,-0.1403450393700041
2023,16,ATL,0.13086963,0.24391668,-0.0016683176,-0.18554586,-0.10199241689406335,-0.14759212546050549,0.03446054784581065,-0.21493247209582478,-0.07639900001231581,-0.08153646253049374,0.05192190897651017,-0.18117457494372502
2023,17,ATL,-0.07273241,-0.08510668,-0.048602603,0.10169537,-0.08203742164187133,-0.1765700727701187,0.08456408185884356,-0.22933581678080373,-0.05651453055907041,-0.09640585724264383,0.037114030914381146,-0.13852752406091895
2023,18,ATL,-0.31556243,-0.08016484,-0.6545348,0.22172172,-0.05088634858839214,-0.06718230620026588,0.08527426375076175,-0.16560930034029298,-0.05928747553844005,-0.0886858063749969,0.042367188492789865,-0.1578651483723661
2024,1,ATL,-0.31973237,-0.31718156,-0.32328126,-0.12069195,-0.13345551304519176,-0.006010469049215317,0.05870400369167328,-0.32733935266151093,-0.08032508206088096,-0.05943642696365714,0.0365243477281183,-0.19828749109001365
2024,2,ATL,0.15921898,0.26283392,0.01830263,0.0847737,-0.1442893948405981,0.004294821992516518,-0.05963410064578056,-0.25702174901380204,-0.12314090586733073,-0.07164865173399448,-0.012586776399984956,-0.2359771105548134
